@relation ’apprentissage’
@attribute ’laire’ NUMERIC
@attribute ’entropie2’ NUMERIC
@attribute ’class’ {'homogene','complexe'}
@data
%aigle_royal_01
95.0,1.0,'homogene'
90.5,1.0,'homogene'
94.0,1.0,'homogene'
91.5,1.0,'homogene'
88.5,1.0,'homogene'
92.5,1.0,'homogene'
91.0,1.0,'homogene'
94.5,1.0,'homogene'
96.5,0.2870860727445793,'complexe'
99.5,0.42181719939455997,'complexe'
91.0,1.0,'homogene'
90.0,1.0,'homogene'
93.5,1.0,'homogene'
91.5,1.0,'homogene'
91.0,1.0,'homogene'
91.5,1.0,'homogene'
91.0,1.0,'homogene'
88.0,1.0,'homogene'
92.0,1.0,'homogene'
94.0,0.6500224216483541,'complexe'
93.5,0.33376030120924005,'complexe'
100.5,0.3488704989470376,'complexe'
92.5,1.0,'homogene'
97.0,1.0,'homogene'
95.5,1.0,'homogene'
94.5,1.0,'homogene'
92.5,1.0,'homogene'
92.0,1.0,'homogene'
95.5,1.0,'homogene'
93.0,1.0,'homogene'
93.0,1.0,'homogene'
95.5,0.35275207748852305,'complexe'
88.5,0.37830928413659015,'complexe'
100.0,0.41815514710371643,'complexe'
92.0,1.0,'homogene'
91.5,1.0,'homogene'
91.0,1.0,'homogene'
95.5,1.0,'homogene'
95.0,1.0,'homogene'
92.5,1.0,'homogene'
89.0,1.0,'homogene'
94.0,1.0,'homogene'
91.0,1.0,'homogene'
98.0,0.39365376265299756,'complexe'
88.5,0.47015047891176165,'complexe'
107.0,0.3500722874494256,'complexe'
92.5,1.0,'homogene'
93.0,1.0,'homogene'
97.5,1.0,'homogene'
95.0,1.0,'homogene'
92.0,1.0,'homogene'
91.5,1.0,'homogene'
92.5,1.0,'homogene'
96.0,1.0,'homogene'
93.0,1.0,'homogene'
103.5,0.5026811172837411,'complexe'
94.5,0.41249820902896817,'complexe'
105.0,0.3346489759784663,'complexe'
88.0,1.0,'homogene'
98.5,1.0,'homogene'
88.0,1.0,'homogene'
88.0,1.0,'homogene'
88.0,1.0,'homogene'
94.5,1.0,'homogene'
90.0,1.0,'homogene'
91.0,1.0,'homogene'
97.5,0.8112781244591328,'complexe'
99.5,0.40918979070489636,'complexe'
93.0,0.35379303589071676,'complexe'
96.5,0.9182958340544896,'homogene'
88.0,1.0,'homogene'
88.0,1.0,'homogene'
90.5,1.0,'homogene'
98.5,1.0,'homogene'
88.0,1.0,'homogene'
93.5,1.0,'homogene'
92.0,1.0,'homogene'
89.0,1.0,'homogene'
91.5,0.27286882729423745,'complexe'
90.5,0.3917093065695293,'complexe'
95.5,0.28052523554725717,'complexe'
110.0,0.2800557678361792,'complexe'
91.0,1.0,'homogene'
92.5,1.0,'homogene'
91.0,1.0,'homogene'
97.0,1.0,'homogene'
93.0,1.0,'homogene'
97.5,1.0,'homogene'
95.0,1.0,'homogene'
93.5,1.0,'homogene'
104.0,0.40861269511210935,'complexe'
92.5,0.400110689800226,'complexe'
92.5,0.1610292217845028,'complexe'
91.0,0.26542269393608314,'complexe'
91.5,1.0,'homogene'
93.0,1.0,'homogene'
94.0,1.0,'homogene'
94.0,1.0,'homogene'
92.5,1.0,'homogene'
93.5,1.0,'homogene'
91.0,1.0,'homogene'
89.0,1.0,'homogene'
94.5,0.35436489146076,'complexe'
89.5,0.5737954100159095,'complexe'
99.5,0.23542512201487636,'complexe'
105.5,0.2974722489192897,'complexe'
90.0,1.0,'homogene'
95.5,1.0,'homogene'
96.0,1.0,'homogene'
90.0,1.0,'homogene'
88.5,1.0,'homogene'
93.0,1.0,'homogene'
88.0,1.0,'homogene'
99.5,1.0,'homogene'
90.5,0.43115153506686904,'complexe'
93.5,0.3720008943542745,'complexe'
